name,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude,LY_distance
V777 Cas,Cassiopeia,01,55,42.85,+59,16,24.4,7.02,959
HD 224404,Cassiopeia,23,57,33.52,+60,01,25.0,6.47,1144
V772 Cas,Cassiopeia,01,42,02.91,+61,02,17.7,6.69,1220
V Cas,Cassiopeia,23,11,40.72,+59,41,59.0,6.90,1520
CC Cas,Cassiopeia,03,14,05.33,+59,33,48.5,7.08,1860
V764 Cas,Cassiopeia,01,17,26.69,+57,37,55.5,6.61,1900
V809 Cas,Cassiopeia,23,19,23.77,+62,44,23.2,6.74,1960
V801 Cas,Cassiopeia,03,08,54.18,+62,23,04.5,6.47,2012
HD 17505,Cassiopeia,02,51,07.98,+60,25,03.9,7.08,2860
HD 9811,Cassiopeia,01,37,47.20,+64,44,21.7,6.49,2964
HD 698,Cassiopeia,00,11,37.15,+58,12,42.6,7.08,3500
V649 Cas,Cassiopeia,23,16,27.05,+61,57,46.6,6.53,3500
HD 15558,Cassiopeia,02,32,42.54,+61,27,21.6,7.87,5658.20
HD 16429,Cassiopeia,02,40,44.94,+61,16,56.1,7.65,11609.82
HD 17520,Cassiopeia,02,51,14.46,+60,23,09.8,8.24,844.19
HD 221585,Cassiopeia,23,32,54.0,+63,09,20,7.47,0
HD 240237,Cassiopeia,23,15,42.22,+58,02,35.7,8.17,3008.62
RV Cas,Cassiopeia,00,52,42.76,+47,24,56.1,7.3,4060.59
S Cas,Cassiopeia,01,19,41.99,+72,36,40.8,7.9,3101.69
U Cas,Cassiopeia,00,46,21.37,+48,14,38.7,8.0,3615.25
V368 Cas,Cassiopeia,03,12,35.54,+59,55,10.9,8.32,2900.40
V487 Cas,Cassiopeia,01,06,59.74,+63,46,23.4,7.60,8904.75
V641 Cas,Cassiopeia,00,09,26.34,+63,57,14.1,8.30,9600.70
V745 Cas,Cassiopeia,00,22,53.32,+62,14,29.1,8.11,4541.62
W Cas,Cassiopeia,00,54,53.85,+58,33,49.1,7.80,4593.90
HD 7924,Cassiopeia,01,21,59.12,+76,42,37.0,7.19,55
V989 Cas,Cassiopeia,02,15,42.56,+67,40,20.3,7.13,60.6
HD 220842,Cassiopeia,23,26,37.0,+56,53,12,7.99,204
HD 13908,Cassiopeia,02,18,15.0,+65,35,40,7.51,232
HD 17156,Cassiopeia,02,49,44.49,+71,45,11.6,8.17,255
HD 240210,Cassiopeia,23,10,29.23,+57,01,46.0,8.33,468
TV Cas,Cassiopeia,00,19,18.74,+59,08,20.6,7.22,516
HD 221568,Cassiopeia,23,32,47.65,+57,54,20.1,7.55,709
Gliese 83.3,Cassiopeia,02,01,59.06,+61,54,18.2,7.52,906
HD 12288,Cassiopeia,02,03,30.51,+69,34,56.4,7.74,1010
HD 220147,Cassiopeia,23,20,48.92,+62,24,45.2,8.12,1060
HD 19557,Cassiopeia,03,11,25.33,+57,54,11.2,7.57,1590
V636 Cas,Cassiopeia,01,32,43.23,+63,35,37.7,7.19,1640
HD 15570,Cassiopeia,02,32,49.42,+61,22,42.1,8.11,2100
WZ Cas,Cassiopeia,00,01,15.85,+60,21,19.0,7.70,2860
V755 Cas,Cassiopeia,00,42,50.06,+64,17,28.6,7.29,3700
HD 108,Cassiopeia,00,06,03.39,+63,40,46.8,7.40,3800
AZ Cas,Cassiopeia,01,42,16.51,+61,25,16.3,9.22,10874.92
DD Cas,Cassiopeia,23,57,34.96,+62,43,05.7,9.84,10125.16
FM Cas,Cassiopeia,00,14,28.24,+56,15,10.6,9.16,7307.62
HD 12098,Cassiopeia,02,00,40.18,+58,31,37.1,,477.32
HD 219415,Cassiopeia,23,14,54.0,+56,43,49,8.94,539.60
PV Cas,Cassiopeia,23,10,02.58,+59,12,06.1,9.86,2233.01
PZ Cas,Cassiopeia,23,44,03.28,+61,47,22.2,8.90,9178.07
RW Cas,Cassiopeia,01,37,14.02,+57,45,33.2,8.58,10704.56
RX Cas,Cassiopeia,03,05,45.75,+67,34,38.6,8.64,0
T Cas,Cassiopeia,00,23,14.27,+55,47,33.2,8.87,896.61
TX Cas,Cassiopeia,02,52,16.19,+62,46,57.5,9.33,6118.78
TZ Cas,Cassiopeia,23,52,56.24,+61,00,08.4,9.18,8388.45
UU Cas,Cassiopeia,23,50,39.52,+60,54,39.1,9.74,8482.08
WW Cas,Cassiopeia,01,33,32.69,+57,45,05.4,9.10,4399.30
XX Cas,Cassiopeia,01,29,34.61,+60,58,04.7,9.57,6900.79
Y Cas,Cassiopeia,00,03,21.47,+55,40,51.8,8.70,1913.21
Z Cas,Cassiopeia,23,44,31.59,+56,34,52.7,8.5,3437.06
HD 217850,Cassiopeia,23,02,37.0,+58,52,34,8.5,199
BD+60 2522,Cassiopeia,23,20,44.52,+61,11,40.6,8.7,300
DO Cas,Cassiopeia,02,41,24.16,+60,33,11.8,8.54,533
SX Cas,Cassiopeia,00,10,42.08,+54,53,29.4,8.87,771
TW Cas,Cassiopeia,02,45,54.82,+65,43,35.1,8.38,849
X Cas,Cassiopeia,01,56,38.09,+59,15,33.7,9.45,942
SZ Cas,Cassiopeia,02,27,13.77,+59,27,38.2,9.60,1210
HD 15629,Cassiopeia,02,33,20.59,+61,31,18.2,8.42,1330
DL Cas,Cassiopeia,00,29,58.59,+60,12,43.1,8.63,1480
HD 5797,Cassiopeia,01,00,33.43,+60,26,40.9,8.47,1490
SW Cas,Cassiopeia,23,07,10.08,+58,33,15.1,9.74,1520
V605 Cas,Cassiopeia,02,20,22.47,+59,40,16.9,8.36,1570
BM Cas,Cassiopeia,00,54,45.95,+64,05,06.2,8.91,1850
AQ Cas,Cassiopeia,01,19,10.35,+62,23,48.4,10.31,9987.94
BP Cas,Cassiopeia,01,15,01.09,+65,35,57.9,10.80,7952.16
BY Cas,Cassiopeia,01,47,11.92,+61,25,21.0,10.41,7189.38
CH Cas,Cassiopeia,23,22,28.44,+62,45,25.7,10.79,10743.80
DF Cas,Cassiopeia,02,44,43.31,+61,27,52.9,10.74,9466.35
DN Cas,Cassiopeia,02,23,11.53,+60,49,50.1,9.93,6786.10
LS I +61 303,Cassiopeia,02,40,31.67,+61,13,45.6,10.8,8636.47
QQ Cas,Cassiopeia,23,45,36.75,+59,54,21.6,10.20,10312.69
QX Cas,Cassiopeia,23,58,43.15,+61,09,39.5,10.25,12190.26
RS Cas,Cassiopeia,23,37,16.06,+62,25,44.4,10.06,5409.65
RY Cas,Cassiopeia,23,52,07.03,+58,44,30.2,9.95,9892.28
V364 Cas,Cassiopeia,00,52,43.01,+50,28,10.2,10.75,2056.36
V381 Cas,Cassiopeia,00,32,51.61,+49,19,39.3,10.22,9519.51
V459 Cas,Cassiopeia,01,11,29.92,+61,08,48.0,10.36,2252.98
VV Cas,Cassiopeia,01,51,07.03,+59,53,17.5,10.73,10577.38
VW Cas,Cassiopeia,01,05,48.22,+61,45,17.8,10.67,12329.86
VX Cas,Cassiopeia,00,31,30.68,+61,58,51.0,10.50,1759.48
WR 1,Cassiopeia,00,43,28.40,+64,45,35.4,10.54,10549.95
WR 3,Cassiopeia,01,38,55.63,+58,09,22.7,10.69,7452.76
WY Cas,Cassiopeia,23,58,01.30,+56,29,13.5,10.76,3975.94
V547 Cas,Cassiopeia,00,32,29.43,+67,14,08.4,10.29,32.8
MWC 419,Cassiopeia,00,43,18.26,+61,54,40.1,10.60,657
AB Cas,Cassiopeia,02,37,31.51,+71,18,16.3,10.32,888
XY Cas,Cassiopeia,00,49,53.26,+60,07,38.6,9.97,1190
SY Cas,Cassiopeia,00,15,09.81,+58,25,27.4,9.92,1210
CD Cas,Cassiopeia,23,45,02.63,+63,00,13.9,10.64,1230
OX Cas,Cassiopeia,01,09,00.10,+61,28,14.8,10.06,1230
ZZ Cas,Cassiopeia,00,33,30.38,+62,30,40.2,10.79,1290
CE Cas,Cassiopeia,23,58,09.31,+61,12,49.3,10.63,10800
CF Cas,Cassiopeia,23,58,17.98,+61,13,15.8,10.80,10800
1E 2259+586,Cassiopeia,23,01,08.14,+58,52,44.5,,0
2S 0114+650,Cassiopeia,01,18,02.70,+65,17,29.9,11.09,16605.29
BS Cas,Cassiopeia,01,21,38.57,+59,10,27.1,11.84,1302.92
CG Cas,Cassiopeia,00,00,59.25,+69,57,32.2,11.28,0
CY Cas,Cassiopeia,23,29,12.77,+63,22,27.5,11.67,14669.29
GP Cas,Cassiopeia,02,39,50.44,+59,35,51.3,11.50,8855.43
IGR J00291+5934,Cassiopeia,00,29,13.06,+59,34,19.0,,0
IR Cas,Cassiopeia,23,06,52.37,+54,04,52.2,11.14,1149.61
IRAS 00338+6312,Cassiopeia,00,36,47.5,+63,29,02,,0
IT Cas,Cassiopeia,23,42,01.40,+51,44,36.8,11.23,1679.57
IV Cas,Cassiopeia,23,49,31.53,+53,08,04.8,11.34,2703.23
MWC 1080,Cassiopeia,23,17,25.58,+60,50,43.4,11.58,4858.70
OH 127.8+0.0,Cassiopeia,01,33,51.21,+62,26,53.2,,0
PSR B2319+60,Cassiopeia,23,21,55.21,+60,24,30.7,,0
PSR B2334+61,Cassiopeia,23,37,05.78,+61,51,01.7,,0
PSR J0205+6449,Cassiopeia,02,05,37.92,+64,49,42.8,,0
RX J0146.9+6121,Cassiopeia,01,47,00.21,+61,31,23.7,11.34,0
TY Cas,Cassiopeia,00,36,59.42,+63,08,01.7,,6618.47
UV Cas,Cassiopeia,23,02,14.66,+59,36,36.7,11.80,10865.78
V376 Cas,Cassiopeia,00,11,26.52,+58,50,03.7,,0
V425 Cas,Cassiopeia,23,03,46.66,+53,17,14.9,,3028.10
V523 Cas,Cassiopeia,00,40,06.26,+50,14,15.5,10.87,0
V709 Cas,Cassiopeia,00,28,48.84,+59,17,22.0,,2421.42
W3 IRS 5,Cassiopeia,02,25,40.54,+62,05,51.4,,0
WR 2,Cassiopeia,01,05,23.01,+60,25,19.0,11.33,13136.41
IX Cas,Cassiopeia,00,04,50.82,+50,14,05.5,11.36,637
WASP-93,Cassiopeia,00,37,50.0,+51,17,20,10.97,815
CW Cas,Cassiopeia,00,45,52.69,+63,05,08.4,11.08,1340
UZ Cas,Cassiopeia,01,12,41.16,+61,12,48.1,11.45,1840
Alpha Cen A,Centaurus,14,39,40.90,+60,50,06.5,−0.01,4.36
Alpha Cen B,Centaurus,14,39,39.39,+60,50,22.1,1.35,4.36
Iota Cen,Centaurus,13,20,36.07,+36,42,43.5,2.75,59
Theta Cen(5 Cen),Centaurus,14,06,41.32,+36,22,07.3,2.06,61
1 Cen,Centaurus,13,45,41.57,+33,02,36.1,4.23,63
Gamma Cen,Centaurus,12,41,31.20,+48,57,35.6,2.20,130
Tau Cen,Centaurus,12,37,42.33,+48,32,28.6,3.85,132
n Cen,Centaurus,12,53,26.15,+40,10,43.7,4.25,155
2 Cen,Centaurus,13,49,26.75,+34,27,02.3,4.19,177
c1 Cen,Centaurus,14,43,39.48,+35,10,23.6,4.06,205
Psi Cen,Centaurus,14,20,33.48,+37,53,07.0,4.05,247
b Cen,Centaurus,14,41,57.61,+37,47,36.3,4.01,305
Eta Cen,Centaurus,14,35,30.45,+42,09,27.9,2.33,308
Pi Cen,Centaurus,11,21,00.44,+54,29,27.7,3.90,321
Rho Cen,Centaurus,12,11,39.15,+52,22,06.3,3.97,342
Epsilon Cen,Centaurus,13,39,53.27,+53,27,58.9,2.29,376
Zeta Cen,Centaurus,13,55,32.43,+47,17,17.8,2.55,384
Delta Cen,Centaurus,12,08,21.54,+50,43,20.7,2.58,395
Lambda Cen,Centaurus,11,35,46.93,+63,01,11.4,3.11,410
Xi2 Cen,Centaurus,13,06,54.66,+49,54,22.4,4.27,412
Upsilon1 Cen,Centaurus,13,58,40.77,+44,48,12.7,3.87,417
HD 102350,Centaurus,11,46,30.85,+61,10,42.1,4.11,434
Sigma Cen,Centaurus,12,28,02.41,+50,13,50.2,3.91,443
j Cen,Centaurus,11,49,41.09,+63,47,18.6,4.30,459
Phi Cen,Centaurus,13,58,16.28,+42,06,02.5,3.83,465
Nu Cen,Centaurus,13,49,30.30,+41,41,15.6,3.41,475
Beta Cen,Centaurus,14,03,49.44,+60,22,22.7,0.61,525
Mu Cen,Centaurus,13,49,37.01,+42,28,25.3,3.47,527
Kappa Cen,Centaurus,14,59,09.70,+42,06,14.9,3.13,539
d Cen,Centaurus,13,31,02.67,+39,24,26.2,3.90,1254
HR 4523,Centaurus,11,46,32.25,+40,30,04.8,4.89,30
191 G. Cen,Centaurus,13,14,15.43,+59,06,10.3,4.90,59
185 G. Cen,Centaurus,13,12,03.47,+37,48,11.3,4.85,67
321 G. Cen,Centaurus,14,09,54.96,+53,26,19.4,4.74,182
w Cen,Centaurus,12,42,35.56,+48,48,46.9,4.66,188
c2 Cen,Centaurus,14,44,59.20,+35,11,30.6,4.92,207
294 G. Cen,Centaurus,13,57,38.94,+63,41,11.8,4.71,209
Xi1 Cen,Centaurus,13,03,33.35,+49,31,38.1,4.83,218
m Cen,Centaurus,13,24,00.44,+64,32,08.2,4.52,257
Q Cen,Centaurus,13,41,44.81,+54,33,33.7,4.99,271
340 G. Cen,Centaurus,14,22,37.12,+58,27,33.0,4.76,282
3 Cen A,Centaurus,13,51,49.63,+32,59,38.5,4.32,297
e Cen,Centaurus,12,53,06.98,+48,56,35.7,4.33,303
V831 Cen,Centaurus,13,12,17.63,+59,55,13.9,4.58,346
l Cen,Centaurus,12,39,52.56,+39,59,14.1,4.63,355
V863 Cen,Centaurus,12,08,05.26,+50,39,40.5,4.46,376
p Cen,Centaurus,12,50,41.19,+33,59,57.4,4.90,389
G Cen,Centaurus,12,26,31.79,+51,27,02.2,4.82,400
f Cen,Centaurus,13,06,16.73,+48,27,47.7,4.71,414
V761 Cen,Centaurus,14,23,02.26,+39,30,42.4,4.41,418
Chi Cen,Centaurus,14,06,02.79,+41,10,46.5,4.36,446
Upsilon2 Cen,Centaurus,14,01,43.49,+45,36,12.1,4.34,448
A Cen,Centaurus,11,34,45.71,+54,15,50.9,4.62,463
4 Cen,Centaurus,13,53,12.55,+31,55,39.3,4.75,669
58 G. Cen,Centaurus,11,40,53.65,+62,05,24.4,4.93,729
26 G. Cen,Centaurus,11,23,12.70,+36,09,53.2,5.00,858
v Cen,Centaurus,14,20,19.55,+56,23,11.3,4.30,1185
88 G. Cen,Centaurus,12,03,39.31,+42,26,01.6,5.15,79
31 G. Cen,Centaurus,11,25,43.56,+63,58,20.3,5.18,89
128 G. Cen,Centaurus,12,35,45.61,+41,01,19.0,5.12,113
215 G. Cen,Centaurus,13,25,14.14,+64,29,06.3,5.32,128
334 G. Cen,Centaurus,14,19,51.70,+61,16,21.9,5.22,158
217 G. Cen,Centaurus,13,26,07.64,+39,45,17.9,5.11,207
182 G. Cen,Centaurus,13,11,23.31,+43,22,06.6,5.24,221
52 G. Cen,Centaurus,11,37,00.80,+61,17,00.4,5.14,231
381 G. Cen,Centaurus,14,55,44.69,+33,51,20.8,5.32,247
r Cen,Centaurus,13,16,53.11,+31,30,21.9,5.10,247
29 G. Cen,Centaurus,11,25,29.53,+36,03,47.2,5.21,280
V815 Cen,Centaurus,11,07,16.76,+42,38,19.6,5.15,283
54 G. Cen,Centaurus,11,38,07.37,+61,49,35.6,5.15,297
V1019 Cen,Centaurus,14,52,51.09,+37,48,11.2,5.02,384
x1 Cen,Centaurus,12,23,35.45,+35,24,45.6,5.32,409
z Cen,Centaurus,13,46,56.36,+36,15,06.9,5.15,428
H Cen,Centaurus,12,57,04.38,+51,11,55.4,5.17,479
V795 Cen,Centaurus,14,14,57.16,+57,05,09.9,5.03,486
K Cen,Centaurus,13,29,25.26,+51,09,54.4,5.04,504
34 G. Cen,Centaurus,11,28,35.11,+42,40,27.2,5.14,625
64 G. Cen,Centaurus,11,45,44.00,+45,41,24.5,5.28,782
33 G. Cen,Centaurus,11,26,35.43,+61,06,54.6,5.22,1552
V810 Cen,Centaurus,11,43,31.20,+62,29,21.8,5.00,2567
Omicron1 Cen,Centaurus,11,31,46.07,+59,26,31.4,5.07,3228
Omicron2 Cen,Centaurus,11,31,48.81,+59,30,56.3,5.12,3396
235 G. Cen,Centaurus,13,37,12.20,+61,41,29.7,5.63,116
9 G. Cen,Centaurus,11,12,33.15,+49,06,03.9,5.37,163
HD 120987,Centaurus,13,53,32.82,+35,39,51.1,5.53,163
43 G. Cen,Centaurus,11,34,57.00,+49,08,13.0,5.50,207
59 G. Cen,Centaurus,11,41,19.86,+43,05,44.4,5.54,209
176 G. Cen,Centaurus,13,06,54.23,+35,51,42.6,5.63,229
177 G. Cen,Centaurus,13,07,38.32,+53,27,35.0,5.70,324
172 G. Cen,Centaurus,13,06,35.05,+41,35,18.3,5.59,339
74 G. Cen,Centaurus,11,52,10.39,+56,59,16.2,5.56,341
288 G. Cen,Centaurus,13,55,12.17,+52,09,38.8,5.66,342
C3 Cen,Centaurus,11,37,34.05,+47,44,50.6,5.46,363
41 G. Cen,Centaurus,11,33,37.26,+40,35,12.1,5.39,368
142 G. Cen,Centaurus,12,50,57.90,+52,47,14.6,5.70,382
V964 Cen,Centaurus,13,20,37.85,+52,44,52.0,5.47,396
x2 Cen,Centaurus,12,25,21.76,+35,11,11.0,5.71,420
u Cen,Centaurus,12,28,22.49,+39,02,28.1,5.45,427
330 G. Cen,Centaurus,14,14,42.76,+41,50,14.8,5.61,449
269 G. Cen,Centaurus,13,47,38.67,+50,19,14.4,5.46,454
248 G. Cen,Centaurus,13,39,48.59,+40,03,05.7,5.61,522
39 G. Cen,Centaurus,11,32,48.14,+40,26,10.8,5.64,544
367 G. Cen,Centaurus,14,41,01.41,+36,08,05.4,5.67,588
152 G. Cen,Centaurus,12,55,19.46,+42,54,56.5,5.46,601
251 G. Cen,Centaurus,13,42,01.12,+58,47,13.4,5.38,647
V918 Cen,Centaurus,11,47,19.17,+57,41,47.6,5.42,821
341 G. Cen,Centaurus,14,22,19.74,+34,47,12.4,5.57,1230
221 G. Cen,Centaurus,13,26,56.12,+41,29,51.2,5.69,2012
V817 Cen,Centaurus,12,08,54.60,+41,13,53.7,5.51,2090
324 G. Cen,Centaurus,14,13,16.42,+53,39,56.3,5.53,2608
70 G. Cen,Centaurus,11,50,27.28,+62,38,57.8,5.68,3075
V767 Cen,Centaurus,13,53,57.25,+47,07,41.4,5.83,0
127 G. Cen,Centaurus,12,34,42.46,+44,40,21.1,5.76,92
151 G. Cen,Centaurus,12,54,58.71,+44,09,05.1,5.89,130
196 G. Cen,Centaurus,13,17,13.92,+43,58,46.0,5.82,190
129 G. Cen,Centaurus,12,36,01.07,+39,52,10.0,5.78,219
243 G. Cen,Centaurus,13,40,10.80,+64,34,35.6,5.79,226
193 G. Cen,Centaurus,13,14,43.36,+48,57,24.5,5.84,259
293 G. Cen,Centaurus,13,56,19.89,+46,35,33.8,5.82,284
181 G. Cen,Centaurus,13,11,08.94,+42,13,58.2,5.78,299
V788 Cen,Centaurus,12,08,53.84,+44,19,33.2,5.75,326
114 G. Cen,Centaurus,12,23,44.79,+38,54,40.9,5.79,342
357 G. Cen,Centaurus,14,35,31.50,+41,31,02.6,5.88,358
205 G. Cen,Centaurus,13,20,57.76,+46,52,48.2,5.76,377
140 G. Cen,Centaurus,12,46,46.22,+33,18,55.5,5.87,384
388 G. Cen,Centaurus,15,01,13.07,+38,03,29.9,5.88,387
359 G. Cen,Centaurus,14,36,44.15,+40,12,41.5,5.74,419
13 G. Cen,Centaurus,11,13,39.41,+53,13,54.9,5.75,446
30 G. Cen,Centaurus,11,25,33.13,+37,44,51.2,5.87,541
V744 Cen,Centaurus,13,39,59.90,+49,57,00.0,5.74,543
32 G. Cen,Centaurus,11,26,47.30,+53,09,35.8,5.80,625
27 G. Cen,Centaurus,11,23,08.17,+56,46,45.7,5.82,653
133 G. Cen,Centaurus,12,41,23.04,+46,08,44.6,5.84,797
380 G. Cen,Centaurus,14,54,37.92,+33,18,02.0,5.85,801
11 G. Cen,Centaurus,11,13,14.69,+44,22,20.0,5.77,840
278 G. Cen,Centaurus,13,51,47.23,+46,53,55.1,5.77,1173
283 G. Cen,Centaurus,13,53,43.11,+53,22,23.8,5.87,1203
50 G. Cen,Centaurus,11,36,22.38,+61,03,08.8,5.84,1462
102 G. Cen,Centaurus,12,13,25.06,+38,55,45.0,5.77,2037
79 G. Cen,Centaurus,11,55,00.02,+63,16,45.0,5.89,2567
209 G. Cen,Centaurus,13,22,16.29,+52,10,58.6,5.81,5175
203 G. Cen,Centaurus,13,20,48.34,+55,48,02.5,6.00,0
3 Cen B,Centaurus,13,51,50.10,+32,59,41.0,6.06,0
291 G. Cen,Centaurus,13,56,32.99,+54,42,14.8,6.00,124
162 G. Cen,Centaurus,13,00,32.71,+33,30,18.3,6.01,131
268 G. Cen,Centaurus,13,47,27.58,+50,14,57.6,5.92,196
337 G. Cen,Centaurus,14,19,23.91,+37,00,10.1,5.93,223
189 G. Cen,Centaurus,13,13,23.38,+50,41,59.2,5.90,329
298 G. Cen,Centaurus,13,59,17.46,+50,22,10.6,5.92,335
V824 Cen,Centaurus,13,10,58.47,+52,34,00.7,6.05,343
190 G. Cen,Centaurus,13,14,12.15,+58,41,02.1,5.91,344
351 G. Cen,Centaurus,14,31,10.84,+38,52,11.2,5.99,346
256 G. Cen,Centaurus,13,42,55.06,+41,24,03.4,5.96,352
236 G. Cen,Centaurus,13,37,06.05,+44,08,35.4,5.96,376
148 G. Cen,Centaurus,12,53,04.26,+54,57,08.9,5.91,379
239 G. Cen,Centaurus,13,37,23.50,+46,25,40.2,5.91,389
375 G. Cen,Centaurus,14,48,38.06,+36,38,04.5,5.89,449
145 G. Cen,Centaurus,12,51,56.95,+39,40,49.4,5.99,465
305 G. Cen,Centaurus,14,03,26.58,+56,12,48.2,5.93,530
V869 Cen,Centaurus,14,09,35.06,+51,30,16.7,5.96,548
373 G. Cen,Centaurus,14,47,05.06,+38,17,25.6,5.90,554
60 G. Cen,Centaurus,11,43,27.20,+37,11,24.4,5.98,598
361 G. Cen,Centaurus,14,38,19.34,+38,47,38.9,6.04,627
85 G. Cen,Centaurus,11,59,10.88,+51,41,48.3,6.04,849
V928 Cen,Centaurus,12,29,57.88,+41,44,09.1,6.00,918
V914 Cen,Centaurus,11,40,42.49,+53,58,06.8,5.95,1065
174 G. Cen,Centaurus,13,07,24.31,+59,51,37.8,5.98,1235
242 G. Cen,Centaurus,13,38,48.96,+57,37,21.7,6.00,1235
76 G. Cen,Centaurus,11,54,11.51,+57,24,36.7,6.05,1370
258 G. Cen,Centaurus,13,43,40.10,+42,04,03.0,5.96,1590
253 G. Cen,Centaurus,13,42,56.12,+56,46,04.7,6.00,3047
V790 Cen,Centaurus,13,22,35.7,+60,58,20.0,6.18,0
306 G. Cen,Centaurus,14,03,01.71,+31,41,03.1,6.18,125
186 G. Cen,Centaurus,13,12,55.71,+59,48,58.8,6.18,130
HD 108063,Centaurus,12,25,08.62,+42,30,51.3,6.10,172
282 G. Cen,Centaurus,13,52,01.00,+31,37,08.9,6.11,175
HD 121056,Centaurus,13,53,52.0,+35,18,52,6.17,215
97 G. Cen,Centaurus,12,10,33.78,+37,52,13.0,6.07,234
25 G. Cen,Centaurus,11,22,23.15,+44,38,45.1,6.10,344
192 G. Cen,Centaurus,13,13,57.80,+43,08,21.0,6.16,351
229 G. Cen,Centaurus,13,32,05.39,+38,23,55.5,6.14,363
384 G. Cen,Centaurus,14,58,36.59,+39,54,25.1,6.17,365
62 G. Cen,Centaurus,11,43,52.82,+62,52,41.7,6.10,396
358 G. Cen,Centaurus,14,36,24.14,+39,35,50.5,6.13,400
352 G. Cen,Centaurus,14,33,09.62,+30,42,53.9,6.07,412
194 G. Cen,Centaurus,13,15,09.49,+36,22,16.9,6.17,464
290 G. Cen,Centaurus,13,56,19.99,+54,07,56.5,6.14,466
67 G. Cen,Centaurus,11,47,07.02,+35,54,24.5,6.16,475
80 G. Cen,Centaurus,11,55,54.73,+39,41,22.1,6.13,484
106 G. Cen,Centaurus,12,17,47.29,+36,05,38.3,6.15,488
383 G. Cen,Centaurus,14,56,30.87,+32,38,12.2,6.06,551
V828 Cen,Centaurus,14,03,27.49,+41,25,23.9,6.08,552
312 G. Cen,Centaurus,14,06,10.91,+43,05,29.8,6.18,561
187 G. Cen,Centaurus,13,12,50.86,+42,41,59.0,6.19,629
198 G. Cen,Centaurus,13,18,34.89,+51,17,08.7,6.18,644
213 G. Cen,Centaurus,13,23,08.64,+33,11,23.6,6.17,731
10 G. Cen,Centaurus,11,12,56.74,+49,44,10.0,6.12,760
302 G. Cen,Centaurus,14,01,19.08,+40,13,19.0,6.12,805
211 G. Cen,Centaurus,13,22,52.50,+47,56,35.6,6.18,994
V716 Cen,Centaurus,14,13,39.84,+54,37,32.2,6.09,1101
28 G. Cen,Centaurus,11,24,22.06,+42,40,08.8,6.13,3075
180 G. Cen,Centaurus,13,11,53.07,+63,18,10.7,6.32,0
332 G. Cen,Centaurus,14,15,38.58,+45,00,01.5,6.31,69
120 G. Cen,Centaurus,12,26,48.71,+48,54,46.8,6.25,87
377 G. Cen,Centaurus,14,52,33.33,+30,34,37.8,6.30,130
100 G. Cen,Centaurus,12,11,31.67,+51,21,33.0,6.23,174
81 G. Cen,Centaurus,11,56,44.02,+47,04,20.8,6.26,176
19 G. Cen,Centaurus,11,16,27.94,+45,52,48.6,6.30,181
20 G. Cen,Centaurus,11,17,12.06,+38,00,51.8,6.24,234
7 G. Cen,Centaurus,11,12,10.24,+46,16,00.4,6.27,322
104 G. Cen,Centaurus,12,15,30.71,+41,54,46.2,6.24,347
3 G. Cen,Centaurus,11,06,27.57,+50,57,24.3,6.31,367
200 G. Cen,Centaurus,13,20,35.06,+59,46,21.9,6.20,392
389 G. Cen,Centaurus,15,01,58.10,+34,21,31.7,6.21,393
2 G. Cen,Centaurus,11,06,05.74,+51,12,45.9,6.28,412
V992 Cen,Centaurus,14,05,46.53,+54,40,09.5,6.20,425
49 G. Cen,Centaurus,11,36,40.74,+37,14,13.9,6.30,432
144 G. Cen,Centaurus,12,52,05.47,+48,05,39.5,6.31,479
116 G. Cen,Centaurus,12,24,44.77,+41,23,02.8,6.24,498
63 G. Cen,Centaurus,11,45,12.66,+49,04,11.5,6.26,521
141 G. Cen,Centaurus,12,50,19.53,+48,27,34.4,6.26,571
319 G. Cen,Centaurus,14,08,51.90,+43,28,14.7,6.19,713
232 G. Cen,Centaurus,13,34,28.99,+48,16,19.7,6.32,726
365 G. Cen,Centaurus,14,40,32.77,+56,26,26.7,6.30,1006
220 G. Cen,Centaurus,13,27,06.40,+49,08,37.3,6.31,1069
147 G. Cen,Centaurus,12,52,24.61,+53,49,47.7,6.26,1090
V765 Cen,Centaurus,13,39,40.85,+39,44,51.2,6.29,1120
V789 Cen,Centaurus,13,04,48.25,+41,11,46.6,6.24,1173
15 G. Cen,Centaurus,11,14,54.13,+43,44,01.3,6.22,1725
222 G. Cen,Centaurus,13,27,20.66,+49,22,52.6,6.27,2312
V809 Cen,Centaurus,11,31,15.05,+61,16,42.5,6.28,4657
310 G. Cen,Centaurus,14,06,25.16,+59,42,57.2,6.39,0
279 G. Cen,Centaurus,13,51,36.58,+36,25,58.8,6.34,195
126 G. Cen,Centaurus,12,33,59.26,+49,54,34.9,6.38,220
137 G. Cen,Centaurus,12,43,26.24,+40,10,40.1,6.43,235
347 G. Cen,Centaurus,14,26,13.53,+42,19,06.5,6.33,314
317 G. Cen,Centaurus,14,07,40.84,+48,42,14.3,6.43,330
263 G. Cen,Centaurus,13,46,14.54,+54,40,59.9,6.42,337
130 G. Cen,Centaurus,12,36,46.65,+50,20,07.3,6.40,359
168 G. Cen,Centaurus,13,05,06.70,+47,07,00.6,6.44,364
HD 120457,Centaurus,13,50,19.39,+39,54,03.0,6.43,367
